Hridayam         FEB/15 Fun Cinemas
FIR              FEB/23 KG Cinemas
Valimai          FEB/26 Priya
Bheeshma Parvam  MAR/03 Priya
Hey Sinamika     MAR/22 INOX Prozone Mall
ET               MAR/22 KG CINEMAS
RRR              MAR/26 Brookefields Mall
Twenty One Gms   APR/01 Jayabarath
Manmadha Leelai  APR/05 KG Cinemas
Beast            APR/16 Sathya
KGF Chapter 2    APR/16 Priya
KRK              APR/28 SATHYA
Jana Gana Mana   APR/28 AROMA
CBI 5            MAY/03 PRIYA
MAKAL            MAY/03 PRIYADARSINI
JO & JO          MAY/14 Priyadarsini
Don              MAY/21 Devidurga
John Luther      MAY/31 Brookfields Mall
Vikram           JUN/03 V Cinemas
777 Charlie      JUN/19 Oberon Mall
Prakashan Parak- JUN/26 Padma Cinema
Pyali            JUL/11 Vanitha Vineetha
Kaduva           JUL/20 G Cinemas
Sitha Ramam      AUG/05 Vanitha Vineetha
Thallumaala      AUG/12 Cinepolis CSq Mall
Mike             AUG/23 Oberon Mall
Pease            AUG/28 Nucleus Mall
Avatar           SEP/24 Aries Plex Tvm
PS I             SEP/30 Cinepolis CSq Mall
Rorschach        OCT/13 Kairali Sree Clt
Kaanthara        OCT/26 Shenoys
JayaJayaJay He   OCT/31 Oberon Mall
Kooman           NOV/08 Carnival RedCarpet
MukundanUnni As  NOV/15 Priya Cinemas
Avatar 2         DEC/16 Priya Cinemas 

